Event,Campaign,Station,Type,"Date/Time (GPS Navigator, Koden, KGP-920)","Longitude (GPS Navigator, Koden, KGP-920)","Latitude (GPS Navigator, Koden, KGP-920)","Elevation [m a.s.l.] (Echosounder, Elac-Nautik, Hyd...)","Depth water [m] (CTD, Sea-Bird, SBE 25plus; ca...)","Temp [°C] (CTD, Sea-Bird, SBE 25plus; ca...)","Sal (PSU, CTD, Sea-Bird, SBE 25plu...)","Sigma-theta [kg/m**3] (CTD, Sea-Bird, SBE 25plus; ca...)","DO [mg/l] (CTD, Sea-Bird, SBE 25plus; me...)","DO [%] (CTD, Sea-Bird, SBE 25plus; me...)","Fluorescence [mg/m**3] (CTD, Sea-Bird, SBE 25plus; me...)","Turbidity [NTU] (CTD, Sea-Bird, SBE 25plus; me...)","PAR (CTD, Sea-Bird, SBE 25plus; me...)","Press [dbar] (CTD, Sea-Bird, SBE 25plus; ca...)","Cond [mS/cm] (CTD, Sea-Bird, SBE 25plus; me...)","pH (determined in laboratory, pH ...)","Temp [°C] (determined in laboratory, pH ...)","Eh [mV] (determined in laboratory, Red...)",z(SD) [m] (Secchi disc),"[PO4]3- [µmol/l] (determined in laboratory, Aut...)","TP [µmol/l] (determined in laboratory, Aut...)","Si(OH)4 [µmol/l] (determined in laboratory, Aut...)","[NO3]- + [NO2]- [µmol/l] (determined in laboratory, Aut...)","[NH4]+ [µmol/l] (determined in laboratory, Aut...)","TN [µmol/l] (determined in laboratory, Aut...)","Chl a [µg/l] (determined in laboratory, Aut...)","DO [mg/l] (determined in laboratory, Win...)"
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,1,23.6065,24.0472,15.4831,7.1709,97.079,0.6945,0.2037,56.839,1.008,36.8708,8.389,22.7,154.1,10.0,0.0979,0.2443,0.6536,0.05,0.5299,7.7064,1.079,7.0961
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,2,23.7519,24.1841,15.5457,7.1927,97.704,0.6776,0.2173,46.234,2.016,37.17,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,3,24.1816,25.0616,16.0852,7.2061,99.128,0.805,0.2064,38.705,3.023,38.72,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,4,24.1399,26.5514,17.2196,7.0077,97.158,1.3087,0.2361,32.676,4.031,40.7495,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,5,23.6481,27.0343,17.7234,6.9048,95.168,1.3458,0.248,27.069,5.039,41.0089,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,6,23.2643,27.3323,18.0564,6.8214,93.541,1.2643,0.2575,21.979,6.047,41.0958,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,7,22.6984,27.6091,18.4209,6.3645,86.554,1.1282,0.2679,18.087,7.055,40.9909,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,8,20.7625,28.6171,19.7055,6.2614,82.684,1.0423,0.2854,15.104,8.062,40.672,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,9,20.664,30.7725,21.3678,5.7263,76.451,1.1851,0.2824,12.904,9.071,43.2943,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,10,18.7533,34.3759,24.6066,5.3249,70.102,0.7086,0.203,10.929,10.078,45.9146,8.155,19.5,157.2,,0.2928,0.3105,6.4087,0.19,0.041,4.0062,0.241,4.9558
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,11,17.9113,35.7516,25.8699,5.1147,66.824,0.6655,0.193,9.1367,11.086,46.6909,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,12,17.427,36.6622,26.6872,4.8799,63.522,1.0373,0.2151,7.8494,12.094,47.2428,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,13,17.1205,37.2045,27.1783,4.8481,62.948,1.2563,0.2392,6.815,13.102,47.5422,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,14,16.9133,37.671,27.587,4.8426,62.804,1.0934,0.2126,5.8742,14.11,47.8531,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,15,16.8487,38.0678,27.9078,4.7026,61.061,0.607,0.1639,5.0608,15.117,48.2324,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,16,16.7976,38.4172,28.189,4.6497,60.443,0.4798,0.1516,4.4086,16.125,48.5711,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,17,16.7168,38.4994,28.2717,4.6458,60.329,0.6964,0.1617,3.9133,17.133,48.5766,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,18,16.5949,38.5337,28.3274,4.4551,57.731,1.2405,0.1755,3.5129,18.141,48.4837,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,19,16.4109,38.5692,28.3989,4.2496,54.885,1.4666,0.1862,3.124,19.149,48.325,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,20,16.4244,38.6174,28.4328,4.1006,52.989,1.3014,0.1703,2.741,20.157,48.3936,8.096,18.4,155.2,,0.4415,0.4666,8.7811,1.5,0.404,6.0465,1.344,4.0369
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,21,16.4734,38.6839,28.4722,3.8594,49.94,1.0753,0.1637,2.3937,21.165,48.5213,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,22,16.3484,38.7011,28.5154,3.4762,44.88,0.9381,0.1562,2.0975,22.173,48.4055,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,23,16.2852,38.6996,28.5292,3.2565,41.991,0.8562,0.1479,1.851,23.181,48.336,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,24,16.2725,38.6985,28.5315,3.1706,40.872,0.8545,0.1452,1.6566,24.188,48.3215,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,25,16.2633,38.6987,28.5338,3.0446,39.24,0.816,0.1414,1.4888,25.197,48.3121,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,26,16.2178,38.7097,28.5531,2.7013,34.789,0.7373,0.1399,1.3263,26.204,48.2757,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,27,16.1801,38.7209,28.5705,2.4174,31.111,0.6767,0.1401,1.1997,27.212,48.2477,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,28,16.1606,38.728,28.5808,2.235,28.755,0.608,0.1466,1.0923,28.22,48.235,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,29,16.1362,38.7353,28.5922,2.1352,27.459,0.5561,0.1538,0.9943,29.228,48.2172,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,30,16.1242,38.7444,28.602,2.0672,26.58,0.5174,0.1516,0.9027,30.236,48.2147,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,31,16.1173,38.7469,28.6055,2.0459,26.303,0.5079,0.1651,0.815,31.244,48.2104,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,32,16.1113,38.7526,28.6113,2.1257,27.326,0.4788,0.1486,0.741,32.252,48.2108,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,33,16.1275,38.7711,28.6217,2.3709,30.492,0.3889,0.1467,0.6744,33.26,48.2492,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,34,16.1099,38.7825,28.6347,2.5041,32.195,0.3422,0.1415,0.6167,34.268,48.2432,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,35,16.0726,38.7844,28.645,2.5075,32.217,0.3089,0.1308,0.5657,35.276,48.2055,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,36,16.0599,38.7898,28.6521,2.5076,32.212,0.2706,0.1206,0.5176,36.284,48.1981,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,37,16.0354,38.791,28.6589,2.344,30.095,0.259,0.1247,0.4765,37.292,48.1734,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,38,15.9997,38.7944,28.6699,2.131,27.342,0.2446,0.127,0.4403,38.3,48.139,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,39,15.9765,38.7975,28.6777,2.0058,25.724,0.2222,0.1337,0.4071,39.308,48.1177,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,40,15.9665,38.7999,28.6819,1.9526,25.038,0.2121,0.1398,0.3757,40.316,48.1101,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,41,15.951,38.8037,28.6885,1.8674,23.939,0.2135,0.1484,0.3415,41.324,48.0979,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,42,15.9061,38.8079,28.7023,1.7162,21.982,0.2126,0.1649,0.3152,42.332,48.0545,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,43,15.8672,38.8128,28.7152,1.6464,21.073,0.1982,0.168,0.2903,43.34,48.0183,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,44,15.8416,38.819,28.726,1.6512,21.124,0.1747,0.1495,0.2623,44.348,47.9978,,,,,,,,,,,,
